id,title,authors,category,tags,publisher,language,pages,price,rating,in_stock,publish_date,description
BK001,The Pragmatic Programmer,Andrew Hunt|David Thomas,Software Engineering,programming|best-practices|career,Addison-Wesley,English,352,34.95,4.7,True,1999-10-30T00:00:00Z,From journeyman to master: a guide to pragmatic programming for software engineers who want to become better at their craft.
BK002,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,Software Engineering,programming|clean-code|refactoring,Prentice Hall,English,464,39.99,4.6,True,2008-08-01T00:00:00Z,"Even bad code can function. But if code isn't clean, it can bring a development organization to its knees."
BK003,Introduction to Algorithms,Thomas H. Cormen|Charles E. Leiserson|Ronald L. Rivest|Clifford Stein,Computer Science,algorithms|data-structures|academic,MIT Press,English,1312,89.0,4.5,True,2009-07-31T00:00:00Z,A comprehensive textbook on algorithms covering a broad range of topics in depth.
BK004,Designing Data-Intensive Applications,Martin Kleppmann,Distributed Systems,databases|distributed|big-data,O'Reilly Media,English,616,49.99,4.8,True,2017-03-16T00:00:00Z,"The big ideas behind reliable, scalable, and maintainable systems."
BK005,Apache Solr Search Patterns,Jayant Kumar,Search Engines,solr|search|lucene,Packt Publishing,English,316,39.99,4.0,False,2015-04-30T00:00:00Z,Leverage the power of Apache Solr to power up your business by navigating your users to their data quickly and efficiently.
BK006,Lucene in Action,Erik Hatcher|Otis Gospodnetic|Michael McCandless,Search Engines,lucene|search|indexing,Manning Publications,English,532,49.99,4.4,True,2010-07-01T00:00:00Z,"A guide to the Java search engine library, covering everything from indexing to advanced search techniques."
BK007,Effective Java,Joshua Bloch,Software Engineering,java|programming|best-practices,Addison-Wesley,English,416,44.99,4.7,True,2017-12-27T00:00:00Z,"Best practices for the Java platform, third edition fully updated for Java 7, 8, and 9."
BK008,"The Art of Computer Programming, Volumes 1-4A",Donald E. Knuth,Computer Science,algorithms|academic|classic,Addison-Wesley,English,3168,199.99,4.9,True,2011-03-03T00:00:00Z,The definitive multi-volume work on classical computer science algorithms and analysis.
BK009,Hadoop: The Definitive Guide,Tom White,Distributed Systems,hadoop|big-data|mapreduce,O'Reilly Media,English,756,59.99,4.3,True,2015-04-11T00:00:00Z,Storage and analysis at internet scale with Apache Hadoop.
BK010,Kafka: The Definitive Guide,Neha Narkhede|Gwen Shapira|Todd Palino,Distributed Systems,kafka|streaming|messaging,O'Reilly Media,English,322,47.99,4.4,True,2017-09-15T00:00:00Z,Real-time data and stream processing at scale with Apache Kafka.
BK011,Python Crash Course,Eric Matthes,Programming Languages,python|beginner|tutorial,No Starch Press,English,544,39.95,4.7,True,2019-05-03T00:00:00Z,"A hands-on, project-based introduction to programming with Python."
BK012,Fluent Python,Luciano Ramalho,Programming Languages,python|advanced|best-practices,O'Reilly Media,English,792,54.99,4.6,True,2015-08-20T00:00:00Z,"Clear, concise, and effective programming with idiomatic Python."
BK013,JavaScript: The Good Parts,Douglas Crockford,Programming Languages,javascript|web|best-practices,O'Reilly Media,English,176,29.99,4.1,True,2008-05-15T00:00:00Z,"Unearthing the excellence in JavaScript, the elegant subset of the language."
BK014,You Don't Know JS Yet: Get Started,Kyle Simpson,Programming Languages,javascript|fundamentals|web,Independently Published,English,143,19.99,4.5,True,2020-01-28T00:00:00Z,"First in the second edition of the popular YDKJS series, focusing on JavaScript fundamentals."
BK015,Cracking the Coding Interview,Gayle Laakmann McDowell,Career,interview|algorithms|career,CareerCup,English,696,39.95,4.5,True,2015-07-01T00:00:00Z,189 programming questions and solutions for technical interviews.
BK016,System Design Interview - An Insider's Guide,Alex Xu,Career,system-design|interview|scalability,Independently Published,English,322,35.0,4.6,True,2020-06-12T00:00:00Z,An insider's guide to system design interviews with step-by-step frameworks.
BK017,Deep Learning,Ian Goodfellow|Yoshua Bengio|Aaron Courville,Artificial Intelligence,deep-learning|machine-learning|neural-networks,MIT Press,English,800,78.0,4.4,True,2016-11-18T00:00:00Z,An introduction to a broad range of topics in deep learning by leading experts.
BK018,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Aurelien Geron,Artificial Intelligence,machine-learning|python|tensorflow,O'Reilly Media,English,856,69.99,4.7,True,2019-10-15T00:00:00Z,"Concepts, tools, and techniques to build intelligent systems."
BK019,Pattern Recognition and Machine Learning,Christopher M. Bishop,Artificial Intelligence,machine-learning|statistics|academic,Springer,English,738,89.99,4.3,False,2006-08-17T00:00:00Z,The first textbook on pattern recognition to present the Bayesian viewpoint.
BK020,Database System Concepts,Abraham Silberschatz|Henry F. Korth|S. Sudarshan,Databases,databases|sql|academic,McGraw-Hill,English,1376,95.5,4.2,True,2019-02-26T00:00:00Z,Fundamental concepts of database management systems explained in detail.
BK021,MongoDB: The Definitive Guide,Shannon Bradshaw|Eoin Brazil|Kristina Chodorow,Databases,mongodb|nosql|databases,O'Reilly Media,English,514,49.99,4.3,True,2019-12-26T00:00:00Z,Powerful and scalable data storage with MongoDB.
BK022,Operating System Concepts,Abraham Silberschatz|Peter B. Galvin|Greg Gagne,Computer Science,operating-systems|academic|fundamentals,Wiley,English,976,99.99,4.1,True,2018-05-04T00:00:00Z,An academic textbook covering the major principles of operating system design.
BK023,Computer Networks,Andrew S. Tanenbaum|David J. Wetherall,Computer Science,networking|academic|fundamentals,Pearson,English,960,89.99,4.2,True,2010-10-07T00:00:00Z,Comprehensive textbook on computer networks and protocols.
BK024,The C Programming Language,Brian W. Kernighan|Dennis M. Ritchie,Programming Languages,c|classic|fundamentals,Prentice Hall,English,272,67.99,4.7,True,1988-04-01T00:00:00Z,"The classic, definitive guide to the C programming language by its creators."
BK025,Programming Rust,Jim Blandy|Jason Orendorff|Leonora Tindall,Programming Languages,rust|systems|modern,O'Reilly Media,English,622,65.99,4.6,True,2021-07-06T00:00:00Z,"Fast, safe systems development with the Rust programming language."
BK026,The Go Programming Language,Alan A. A. Donovan|Brian W. Kernighan,Programming Languages,go|concurrency|modern,Addison-Wesley,English,380,39.99,4.5,True,2015-11-16T00:00:00Z,Authoritative resource for any programmer who wants to learn Go.
BK027,Spark: The Definitive Guide,Bill Chambers|Matei Zaharia,Distributed Systems,spark|big-data|analytics,O'Reilly Media,English,606,49.99,4.4,True,2018-02-20T00:00:00Z,Big data processing made simple with Apache Spark.
BK028,Elasticsearch: The Definitive Guide,Clinton Gormley|Zachary Tong,Search Engines,elasticsearch|search|lucene,O'Reilly Media,English,724,49.99,4.3,True,2015-02-14T00:00:00Z,A distributed real-time search and analytics engine.
BK029,Site Reliability Engineering,Betsy Beyer|Chris Jones|Jennifer Petoff|Niall Richard Murphy,DevOps,sre|operations|google,O'Reilly Media,English,552,47.99,4.4,True,2016-04-16T00:00:00Z,How Google runs production systems.
BK030,The Phoenix Project,Gene Kim|Kevin Behr|George Spafford,DevOps,devops|novel|business,IT Revolution Press,English,432,19.95,4.6,True,2018-04-16T00:00:00Z,"A novel about IT, DevOps, and helping your business win."
BK031,Docker Deep Dive,Nigel Poulton,DevOps,docker|containers|devops,Independently Published,English,410,29.99,4.6,True,2020-05-25T00:00:00Z,Zero to Docker in a single book.
BK032,Kubernetes in Action,Marko Luksa,DevOps,kubernetes|containers|orchestration,Manning Publications,English,624,49.99,4.7,True,2017-12-14T00:00:00Z,Master container orchestration with Kubernetes.
BK033,Refactoring: Improving the Design of Existing Code,Martin Fowler,Software Engineering,refactoring|design|best-practices,Addison-Wesley,English,448,47.99,4.5,True,2018-11-30T00:00:00Z,Improving existing code by restructuring without changing its external behavior.
BK034,Domain-Driven Design,Eric Evans,Software Engineering,ddd|design|architecture,Addison-Wesley,English,560,54.99,4.4,True,2003-08-22T00:00:00Z,Tackling complexity in the heart of software.
BK035,Code Complete,Steve McConnell,Software Engineering,programming|best-practices|construction,Microsoft Press,English,960,49.99,4.5,True,2004-06-09T00:00:00Z,A practical handbook of software construction.
BK036,The Mythical Man-Month,Frederick P. Brooks Jr.,Software Engineering,project-management|classic|software,Addison-Wesley,English,322,39.99,4.3,True,1995-08-12T00:00:00Z,Essays on software engineering and the management of complex projects.
BK037,Structure and Interpretation of Computer Programs,Harold Abelson|Gerald Jay Sussman,Computer Science,scheme|academic|classic,MIT Press,English,657,65.0,4.4,True,1996-07-25T00:00:00Z,A classic textbook teaching the fundamental principles of computer programming.
BK038,"Compilers: Principles, Techniques, and Tools",Alfred V. Aho|Monica S. Lam|Ravi Sethi|Jeffrey D. Ullman,Computer Science,compilers|academic|languages,Pearson,English,1009,130.99,4.2,False,2006-09-10T00:00:00Z,The Dragon Book - the classic textbook on compiler design.
BK039,Reinforcement Learning: An Introduction,Richard S. Sutton|Andrew G. Barto,Artificial Intelligence,reinforcement-learning|machine-learning|academic,MIT Press,English,552,80.0,4.5,True,2018-11-13T00:00:00Z,A clear and simple account of the field's key ideas and algorithms.
BK040,Natural Language Processing with Python,Steven Bird|Ewan Klein|Edward Loper,Artificial Intelligence,nlp|python|linguistics,O'Reilly Media,English,504,49.99,4.2,True,2009-07-10T00:00:00Z,Analyzing text with the Natural Language Toolkit.
